file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
bbc_0,1,0,Top/politics/healthcarepolicy,1.00,1,19Apr2014 19:24:56.0
bbc_0,1,0,Top/politics/healthcarepolicy/quarntine_strengthening,1.00,1,19Apr2014 19:24:56.0
bbc_0,1,0,Top/economy/coronacrisis,1.00,1,19Apr2014 19:24:56.0
bbc_0,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_0,1,0,Top/economy/crisis,1.00,1,19Apr2014 19:24:56.0
bbc_1,1,0,Top/health,1.00,1,19Apr2014 19:24:56.0
bbc_1,1,0,Top/society,1.00,1,19Apr2014 19:24:56.0
bbc_1,1,0,Top/science/developingvaccine,1.00,1,19Apr2014 19:24:56.0
bbc_1,1,0,Top/politics/healthcarepolicy/safetysteps,1.00,1,19Apr2014 19:24:56.0
bbc_1,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_10,1,0,Top/economy/crisis,1.00,1,19Apr2014 19:24:56.0
bbc_10,1,0,Top/health,1.00,1,19Apr2014 19:24:56.0
bbc_10,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_10,1,0,Top/economy/coronaimport,1.00,1,19Apr2014 19:24:56.0
bbc_100,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_101,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_102,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_103,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_104,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_105,1,0,Top/health,1.00,1,19Apr2014 19:24:56.0
bbc_105,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_105,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_105,1,0,Top/politics/healthcarepolicy/safetysteps,1.00,1,19Apr2014 19:24:56.0
bbc_106,1,0,Top/society,1.00,1,19Apr2014 19:24:56.0
bbc_107,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_108,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_108,1,0,Top/health,1.00,1,19Apr2014 19:24:56.0
bbc_109,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_11,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_11,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_11,1,0,Top/politics/healthcarepolicy/transport,1.00,1,19Apr2014 19:24:56.0
bbc_110,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_111,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_111,1,0,Top/politics,1.00,1,19Apr2014 19:24:56.0
bbc_112,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_112,1,0,Top/society/death,1.00,1,19Apr2014 19:24:56.0
bbc_113,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_114,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_115,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_116,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_117,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_118,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_119,1,0,Top/technologies,1.00,1,19Apr2014 19:24:56.0
bbc_12,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_12,1,0,Top/society/death,1.00,1,19Apr2014 19:24:56.0
bbc_120,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_121,1,0,Top/health,1.00,1,19Apr2014 19:24:56.0
bbc_121,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_121,1,0,Top/health/recover,1.00,1,19Apr2014 19:24:56.0
bbc_122,1,0,Top/health/illness,1.00,1,19Apr2014 19:24:56.0
bbc_122,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_122,1,0,Top/society,1.00,1,19Apr2014 19:24:56.0
bbc_122,1,0,Top/sport,1.00,1,19Apr2014 19:24:56.0
bbc_122,1,0,Top/economy/coronajobloss,1.00,1,19Apr2014 19:24:56.0
bbc_122,1,0,Top/politics/healthcarepolicy,1.00,1,19Apr2014 19:24:56.0
bbc_122,1,0,Top/politics/healthcarepolicy/safetysteps,1.00,1,19Apr2014 19:24:56.0
bbc_123,0,0,,0.00,0,19Apr2014 19:24:56.0
bbc_124,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/economy/crisis,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/economy,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/society,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/politics/healthcarepolicy/safetysteps,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/health,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/politics,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/economy/coronacrisis,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/politics/healthcarepolicy/quarntine_strengthening,1.00,1,19Apr2014 19:24:56.0
bbc_124,1,0,Top/health/dissemination,1.00,1,19Apr2014 19:24:56.0
bbc_125,1,0,Top/society,1.00,1,19Apr2014 19:24:56.0
bbc_125,1,0,Top/health,1.00,1,19Apr2014 19:24:56.0
bbc_125,1,0,Top/economy/coronaimport,1.00,1,19Apr2014 19:24:56.0
bbc_125,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_126,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_127,1,0,Top/politics/healthcarepolicy/transport,1.00,1,19Apr2014 19:24:56.0
bbc_127,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_127,1,0,Top/economy,1.00,1,19Apr2014 19:24:56.0
bbc_127,1,0,Top/politics/healthcarepolicy/entertaiment,1.00,1,19Apr2014 19:24:56.0
bbc_127,1,0,Top/society,1.00,1,19Apr2014 19:24:56.0
bbc_127,1,0,Top/politics/healthcarepolicy,1.00,1,19Apr2014 19:24:56.0
bbc_127,1,0,Top/politics/healthcarepolicy/quarntine_strengthening,1.00,1,19Apr2014 19:24:56.0
bbc_128,1,0,Top/science,1.00,1,19Apr2014 19:24:56.0
bbc_128,1,0,Top/coronavirus,1.00,1,19Apr2014 19:24:56.0
bbc_128,1,0,Top/society/potentialdeath,1.00,1,19Apr2014 19:24:56.0
bbc_128,1,0,Top/health/illness,1.00,1,19Apr2014 19:24:56.0
bbc_128,1,0,Top/health/dissemination,1.00,1,19Apr2014 19:24:56.0
